id,name,rating
1,Pulp Fiction,8.9
2,Taxi Driver,8.3
3,American Gangster,7.8
4,Snatch.,8.3
5,The Godfather,9.2
6,The Departed,8.5
7,Django Unchained,8.5
8,Se7en,8.6
9,One Flew Over the Cuckoo's Nest,8.7
10,Reservoir Dogs,8.4
11,Silver Linings Playbook,7.8
12,Argo,7.7
13,Mystic River,8.0
14,Gravity,7.8
15,The Game,7.8
16,Life of Pi,8.0
17,Dog Day Afternoon,8.0
18,Unforgiven,8.3
19,Escape Plan,6.7
20,Cell 211,7.7
21,The Shawshank Redemption,9.3
22,The Lord of the Rings: The Fellowship of the Ring,8.8
23,Fight Club,8.9
24,The Lord of the Rings: The Two Towers,8.7
25,The Lord of the Rings: The Return of the King,8.9
26,The Silence of the Lambs,8.6
27,No Country for Old Men,8.1
28,Scarface,8.3
29,Despicable Me,7.7
30,The Sixth Sense,8.1
31,Heat,8.2
32,The Usual Suspects,8.6
33,The Dark Knight,9.0
34,Forrest Gump,8.8
35,Inception,8.8
36,The Dark Knight Rises,8.5
37,The Prestige,8.5
38,Inglourious Basterds,8.3
39,Braveheart,8.4
40,Saving Private Ryan,8.6
41,Schindler's List,8.9
42,Eternal Sunshine of the Spotless Mind,8.3
43,Goodfellas,8.7
44,The Matrix,8.7
45,Batman Begins,8.3
46,The Lion King,8.5
47,Toy Story,8.3
48,Toy Story 2,7.9
49,Toy Story 3,8.3
50,V for Vendetta,8.2
51,"The Good, the Bad and the Ugly",8.9
52,Spirited Away,8.6
53,Pan's Labyrinth,8.2
54,12 Angry Men,8.9
55,Die Hard,8.2
56,Seven Samurai,8.7
57,The Great Escape,8.3
58,My Cousin Vinny,7.5
59,Following,7.6
60,Misery,7.8
61,Changeling,7.8
62,Minority Report,7.7
63,RocknRolla,7.3
64,Man on Fire,7.7
65,Lucky Number Slevin,7.8
66,The Boondock Saints,7.9
67,Zodiac,7.7
68,Fracture,7.2
69,A Clockwork Orange,8.4
70,Full Metal Jacket,8.3
71,The Green Mile,8.5
72,Captain Phillips,7.9
73,Fargo,8.2
74,Life Is Beautiful,8.6
75,The Hunt,8.3
76,The Great Debaters,7.6
77,A Beautiful Mind,8.2
78,To Kill a Mockingbird,8.4
79,American Beauty,8.4
80,Titanic,7.7
81,Sin City,8.1
82,Up,8.3
83,Lone Survivor,7.6
84,The Gods Must Be Crazy,7.3
85,Training Day,7.7
